Напряжение[B], Время[c]
0.5307,2.5439
0.5312,2.5439
0.5319,2.5488
0.5324,2.5439
0.5330,2.5439
0.5335,2.5391
0.5340,2.5391
0.5346,2.5439
0.5351,2.5439
0.5356,2.5439
0.5362,2.5439
0.5367,2.5391
0.5372,2.5439
0.5378,2.5391
0.5383,2.5439
0.5388,2.5439
0.5394,2.5391
0.5399,2.5391
0.5404,2.5391
0.5410,2.5439
0.5415,2.5439
0.5420,2.5439
0.5426,2.5439
0.5431,2.5439
0.5436,2.5439
0.5442,2.5439
0.5447,2.5439
0.5452,2.5391
0.5457,2.5391
0.5462,2.5439
0.5468,2.5439
0.5473,2.5439
0.5478,2.5391
0.5483,2.5439
0.5488,2.5439
0.5494,2.5342
0.5499,2.5391
0.5504,2.5439
0.5509,2.5439
0.5520,2.5342
0.5525,2.5439
0.5530,2.5391
0.5536,2.5439
0.5541,2.5439
0.5546,2.5439
0.5551,2.5439
0.5557,2.5391
0.5562,2.5342
0.5567,2.5342
0.5572,2.5439
0.5577,2.5439
0.5583,2.5439
0.5588,2.5391
0.5593,2.5439
0.5598,2.5293
0.5604,2.5488
0.5609,2.5439
0.5614,2.5439
0.5619,2.5439
0.5624,2.5439
0.5630,2.5439
0.5635,2.5391
0.5640,2.5342
0.5645,2.5391
0.5651,2.5439
0.5656,2.5439
0.5661,2.5439
0.5666,2.5391
0.5671,2.5342
0.5677,2.5391
0.5682,2.5439
0.5687,2.5439
0.5692,2.5439
0.5697,2.5439
0.5703,2.5342
0.5708,2.5439
0.5713,2.5439
0.5719,2.5439
0.5725,2.5439
0.5730,2.5391
0.5736,2.5439
0.5741,2.5342
0.5747,2.5439
0.5752,2.5439
0.5757,2.5439
0.5763,2.5439
0.5768,2.5342
0.5774,2.5488
0.5779,2.5391
0.5784,2.5342
0.5789,2.5293
0.5795,2.5439
0.5800,2.5439
0.5805,2.5439
0.5810,2.5439
0.5816,2.5439
0.5821,2.5391
0.5827,2.5293
0.5832,2.5488
0.5838,2.5391
0.5843,2.5439
0.5849,2.5439
0.5854,2.5439
0.5891,2.5488
0.5896,2.5391
0.5902,2.5391
0.5907,2.5391
0.5912,2.5342
0.5918,2.5439
0.5923,2.5439
0.5928,2.5439
0.5933,2.5342
0.5939,2.5439
0.5944,2.5391
0.5950,2.5439
0.5955,2.5342
0.5960,2.5391
0.5965,2.5391
0.5971,2.5439
0.5976,2.5439
0.5981,2.5439
0.5986,2.5391
0.5992,2.5439
0.5997,2.5439
0.6002,2.5391
0.6007,2.5342
0.6012,2.5391
0.6018,2.5439
0.6023,2.5391
0.6028,2.5391
0.6034,2.5439
0.6039,2.5439
0.6044,2.5439
0.6049,2.5342
0.6055,2.5391
0.6060,2.5439
0.6065,2.5439
0.6070,2.5391
0.6075,2.5342
0.6081,2.5391
0.6086,2.5391
0.6091,2.5439
0.6096,2.5439
0.6102,2.5391
0.6107,2.5391
0.6112,2.5439
0.6118,2.5391
0.6123,2.5391
0.6128,2.5439
0.6133,2.5439
0.6139,2.5391
0.6144,2.5439
0.6149,2.5439
0.6154,2.5391
0.6159,2.5391
0.6165,2.5439
0.6170,2.5342
0.6175,2.5342
0.6180,2.5439
0.6186,2.5439
0.6191,2.5439
0.6196,2.5439
0.6201,2.5391
0.6207,2.5391
0.6212,2.5391
0.6217,2.5439
0.6222,2.5439
0.6227,2.5439
0.6233,2.5391
0.6238,2.5391
0.6243,2.5488
0.6248,2.5439
0.6254,2.5439
0.6259,2.5391
0.6264,2.5391
0.6269,2.5439
0.6274,2.5439
0.6280,2.5439
0.6285,2.5391
0.6290,2.5439
0.6296,2.5391
0.6301,2.5391
0.6306,2.5439
0.6311,2.5439
0.6317,2.5439
0.6322,2.5439
0.6327,2.5342
0.6332,2.5439
0.6338,2.5439
0.6343,2.5391
0.6349,2.5342
0.6354,2.5391
0.6359,2.5439
0.6365,2.5439
0.6370,2.5391
0.6376,2.5391
0.6381,2.5342
0.6386,2.5439
0.6392,2.5391
0.6397,2.5488
0.6403,2.5439
0.6408,2.5439
0.6413,2.5342
0.6419,2.5342
0.6424,2.5391
0.6429,2.5391
0.6434,2.5439
0.6440,2.5391
0.6445,2.5391
0.6450,2.5391
0.6455,2.5391
0.6461,2.5439
0.6466,2.5439
0.6471,2.5439
0.6476,2.5439
0.6482,2.5391
0.6487,2.5342
0.6492,2.5439
0.6497,2.5439
0.6503,2.5391
0.6508,2.5391
0.6513,2.5439
0.6518,2.5391
0.6524,2.5391
0.6529,2.5439
0.6534,2.5439
0.6539,2.5439
0.6545,2.5439
0.6550,2.5391
0.6555,2.5439
0.6560,2.5439
0.6566,2.5391
0.6571,2.5391
0.6576,2.5439
0.6582,2.5439
0.6587,2.5439
0.6592,2.5439
0.6597,2.5391
0.6603,2.5439
0.6608,2.5391
0.6613,2.5342
0.6618,2.5391
0.6624,2.5342
0.6629,2.5342
0.6634,2.5391
0.6640,2.5391
0.6645,2.5391
0.6651,2.5391
0.6656,2.5439
0.6661,2.5391
0.6667,2.5391
0.6672,2.5439
0.6677,2.5439
0.6683,2.5439
0.6688,2.5439
0.6693,2.5391
0.6698,2.5439
0.6704,2.5439
0.6709,2.5439
0.6714,2.5439
0.6719,2.5391
0.6725,2.5391
0.6730,2.5391
0.6735,2.5391
0.6740,2.5391
0.6746,2.5439
0.6751,2.5439
0.6756,2.5439
0.6761,2.5391
0.6767,2.5342
0.6772,2.5439
0.6777,2.5342
0.6782,2.5391
0.6788,2.5391
0.6793,2.5439
0.6798,2.5391
0.6803,2.5391
0.6809,2.5439
0.6814,2.5439
0.6819,2.5439
0.6824,2.5391
0.6830,2.5391
0.6835,2.5391
0.6840,2.5391
0.6845,2.5391
0.6850,2.5439
0.6856,2.5439
0.6861,2.5439
0.6866,2.5391
0.6871,2.5342
0.6877,2.5439
0.6882,2.5391
0.6887,2.5439
0.6892,2.5439
0.6897,2.5439
0.6903,2.5439
0.6908,2.5439
0.6913,2.5342
0.6918,2.5342
0.6924,2.5439
0.6929,2.5439
0.6934,2.5391
0.6940,2.5391
0.6945,2.5391
0.6950,2.5439
0.6956,2.5439
0.6961,2.5439
0.6966,2.5439
0.6971,2.5439
0.6977,2.5439
0.6982,2.5439
0.6987,2.5342
0.6992,2.5439
0.6998,2.5391
0.7003,2.5342
0.7008,2.5293
0.7013,2.5391
0.7019,2.5439
0.7024,2.5439
0.7029,2.5439
0.7034,2.5391
0.7040,2.5391
0.7045,2.5391
0.7050,2.5439
0.7055,2.5391
0.7061,2.5439
0.7066,2.5439
0.7071,2.5391
0.7076,2.5342
0.7082,2.5342
0.7087,2.5439
0.7092,2.5439
0.7097,2.5439
0.7102,2.5391
0.7108,2.5439
0.7113,2.5439
0.7118,2.5439
0.7123,2.5439
0.7129,2.5439
0.7134,2.5391
0.7139,2.5293
0.7144,2.5439
0.7150,2.5439
0.7155,2.5439
0.7160,2.5342
0.7165,2.5439
0.7171,2.5439
0.7176,2.5439
0.7181,2.5342
0.7186,2.5342
0.7192,2.5391
0.7197,2.5391
0.7202,2.5439
0.7207,2.5439
0.7213,2.5342
0.7218,2.5342
0.7223,2.5439
0.7228,2.5439
0.7234,2.5391
0.7239,2.5391
0.7244,2.5342
0.7249,2.5342
0.7255,2.5439
0.7260,2.5439
0.7265,2.5488
0.7270,2.5391
0.7276,2.5439
0.7281,2.5439
0.7286,2.5391
0.7291,2.5391
0.7297,2.5439
0.7302,2.5391
0.7307,2.5342
0.7312,2.5391
0.7318,2.5439
0.7323,2.5439
0.7328,2.5391
0.7333,2.5439
0.7338,2.5391
0.7344,2.5439
0.7349,2.5439
0.7354,2.5439
0.7360,2.5439
0.7365,2.5439
0.7370,2.5439
0.7375,2.5342
0.7380,2.5439
0.7386,2.5391
0.7391,2.5391
0.7396,2.5391
0.7401,2.5439
0.7407,2.5391
0.7412,2.5391
0.7417,2.5391
0.7422,2.5439
0.7428,2.5391
0.7433,2.5342
0.7438,2.5439
0.7443,2.5439
