Напряжение[B], Время[c]
0.5098,2.0605
0.5103,2.0605
0.5108,2.0557
0.5113,2.0654
0.5119,2.0654
0.5124,2.0605
0.5129,2.0605
0.5134,2.0654
0.5140,2.0605
0.5145,2.0605
0.5150,2.0654
0.5155,2.0605
0.5160,2.0557
0.5166,2.0605
0.5171,2.0654
0.5176,2.0654
0.5181,2.0654
0.5187,2.0605
0.5192,2.0605
0.5197,2.0654
0.5203,2.0557
0.5208,2.0654
0.5213,2.0605
0.5218,2.0605
0.5224,2.0605
0.5229,2.0654
0.5234,2.0654
0.5240,2.0605
0.5245,2.0654
0.5250,2.0654
0.5255,2.0605
0.5261,2.0605
0.5266,2.0654
0.5271,2.0654
0.5277,2.0605
0.5282,2.0605
0.5287,2.0654
0.5293,2.0654
0.5298,2.0605
0.5303,2.0654
0.5309,2.0605
0.5314,2.0557
0.5320,2.0654
0.5326,2.0605
0.5331,2.0654
0.5336,2.0654
0.5342,2.0654
0.5347,2.0605
0.5352,2.0557
0.5358,2.0605
0.5363,2.0654
0.5368,2.0605
0.5374,2.0654
0.5379,2.0605
0.5384,2.0605
0.5389,2.0654
0.5395,2.0654
0.5402,2.0654
0.5407,2.0654
0.5412,2.0605
0.5418,2.0605
0.5423,2.0605
0.5429,2.0654
0.5434,2.0654
0.5439,2.0654
0.5444,2.0605
0.5450,2.0654
0.5455,2.0654
0.5460,2.0654
0.5466,2.0654
0.5471,2.0654
0.5477,2.0605
0.5482,2.0605
0.5488,2.0654
0.5493,2.0654
0.5498,2.0605
0.5504,2.0605
0.5509,2.0605
0.5514,2.0557
0.5520,2.0654
0.5525,2.0605
0.5530,2.0605
0.5535,2.0654
0.5541,2.0557
0.5546,2.0557
0.5551,2.0508
0.5556,2.0654
0.5562,2.0605
0.5567,2.0654
0.5572,2.0654
0.5578,2.0605
0.5583,2.0605
0.5588,2.0557
0.5593,2.0557
0.5598,2.0605
0.5604,2.0654
0.5609,2.0557
0.5614,2.0557
0.5619,2.0654
0.5625,2.0605
0.5630,2.0654
0.5635,2.0654
0.5641,2.0605
0.5646,2.0605
0.5651,2.0557
0.5657,2.0605
0.5662,2.0654
0.5667,2.0605
0.5672,2.0654
0.5678,2.0605
0.5683,2.0605
0.5688,2.0605
0.5693,2.0605
0.5699,2.0508
0.5704,2.0605
0.5709,2.0557
0.5715,2.0557
0.5720,2.0605
0.5726,2.0605
0.5731,2.0654
0.5736,2.0605
0.5742,2.0605
0.5747,2.0557
0.5752,2.0654
0.5757,2.0654
0.5763,2.0654
0.5768,2.0654
0.5773,2.0605
0.5779,2.0654
0.5784,2.0654
0.5790,2.0605
0.5795,2.0654
0.5801,2.0654
0.5806,2.0654
0.5811,2.0654
0.5817,2.0557
0.5822,2.0654
0.5827,2.0605
0.5833,2.0654
0.5838,2.0605
0.5843,2.0654
0.5848,2.0605
0.5854,2.0605
0.5859,2.0605
0.5864,2.0557
0.5870,2.0605
0.5875,2.0654
0.5880,2.0654
0.5885,2.0605
0.5891,2.0654
0.5896,2.0654
0.5901,2.0654
0.5906,2.0557
0.5912,2.0557
0.5917,2.0654
0.5922,2.0605
0.5928,2.0557
0.5933,2.0605
0.5939,2.0654
0.5945,2.0654
0.5950,2.0605
0.5955,2.0605
0.5961,2.0557
0.5966,2.0557
0.5971,2.0557
0.5977,2.0654
0.5982,2.0605
0.5987,2.0654
0.5992,2.0654
0.5998,2.0654
0.6003,2.0654
0.6008,2.0605
0.6014,2.0654
0.6019,2.0654
0.6024,2.0654
0.6030,2.0605
0.6035,2.0654
0.6040,2.0557
0.6046,2.0605
0.6051,2.0605
0.6056,2.0605
0.6062,2.0654
0.6067,2.0605
0.6072,2.0654
0.6078,2.0654
0.6083,2.0654
0.6088,2.0654
0.6094,2.0654
0.6099,2.0557
0.6104,2.0654
0.6110,2.0654
0.6115,2.0654
0.6120,2.0605
0.6126,2.0605
0.6131,2.0605
0.6137,2.0605
0.6142,2.0605
0.6148,2.0605
0.6153,2.0605
0.6158,2.0654
0.6163,2.0654
0.6168,2.0654
0.6174,2.0654
0.6179,2.0654
0.6184,2.0557
0.6189,2.0654
0.6195,2.0654
0.6200,2.0557
0.6205,2.0654
0.6210,2.0654
0.6215,2.0605
0.6221,2.0557
0.6226,2.0654
0.6231,2.0557
0.6236,2.0557
0.6242,2.0605
0.6247,2.0654
0.6252,2.0605
0.6257,2.0557
0.6262,2.0654
0.6268,2.0605
0.6273,2.0605
0.6278,2.0605
0.6283,2.0557
0.6289,2.0557
0.6294,2.0605
0.6299,2.0605
0.6304,2.0654
0.6310,2.0557
0.6315,2.0557
0.6320,2.0654
0.6325,2.0654
0.6330,2.0605
0.6336,2.0605
0.6341,2.0508
0.6346,2.0557
0.6351,2.0605
0.6357,2.0605
0.6362,2.0605
0.6367,2.0654
0.6372,2.0605
0.6377,2.0654
0.6383,2.0654
0.6388,2.0605
0.6393,2.0557
0.6398,2.0605
0.6404,2.0654
0.6409,2.0654
0.6414,2.0654
0.6419,2.0654
0.6425,2.0605
0.6430,2.0654
0.6435,2.0654
0.6440,2.0654
0.6446,2.0654
0.6451,2.0654
0.6456,2.0605
0.6461,2.0605
0.6466,2.0654
0.6472,2.0605
0.6477,2.0557
0.6482,2.0654
0.6487,2.0654
0.6493,2.0654
0.6498,2.0557
0.6503,2.0605
0.6508,2.0557
0.6514,2.0605
0.6519,2.0605
0.6524,2.0654
0.6529,2.0605
0.6534,2.0557
0.6540,2.0654
0.6545,2.0654
0.6550,2.0654
0.6555,2.0557
0.6561,2.0605
0.6566,2.0557
