Время[c], Напряжение[B]
0.5981,2.5586
0.5986,2.5586
0.5991,2.5635
0.5996,2.5586
0.6002,2.5586
0.6007,2.5488
0.6012,2.5635
0.6017,2.5488
0.6023,2.5586
0.6028,2.5635
0.6033,2.5537
0.6038,2.5586
0.6044,2.5586
0.6049,2.5635
0.6054,2.5586
0.6059,2.5488
0.6065,2.5586
0.6070,2.5586
0.6075,2.5586
0.6080,2.5488
0.6085,2.5586
0.6091,2.5586
0.6096,2.5586
0.6101,2.5537
0.6106,2.5635
0.6112,2.5586
0.6117,2.5586
0.6122,2.5635
0.6127,2.5635
0.6133,2.5586
0.6138,2.5635
0.6143,2.5635
0.6148,2.5635
0.6153,2.5586
0.6159,2.5488
0.6164,2.5635
0.6169,2.5635
0.6174,2.5586
0.6180,2.5635
0.6185,2.5635
0.6190,2.5586
0.6195,2.5537
0.6200,2.5537
0.6206,2.5537
0.6211,2.5635
0.6216,2.5586
0.6222,2.5586
0.6227,2.5586
0.6232,2.5586
0.6237,2.5635
0.6243,2.5635
0.6248,2.5635
0.6253,2.5635
0.6258,2.5635
0.6263,2.5586
0.6269,2.5537
0.6274,2.5586
0.6279,2.5635
0.6284,2.5586
0.6290,2.5635
0.6295,2.5635
0.6300,2.5586
0.6305,2.5635
0.6311,2.5586
0.6316,2.5537
0.6321,2.5635
0.6326,2.5586
0.6331,2.5635
0.6337,2.5635
0.6342,2.5635
0.6347,2.5586
0.6352,2.5586
0.6358,2.5586
0.6363,2.5586
0.6368,2.5635
0.6373,2.5635
0.6379,2.5537
0.6384,2.5635
0.6389,2.5586
0.6394,2.5586
0.6400,2.5586
0.6405,2.5586
0.6410,2.5635
0.6415,2.5635
0.6421,2.5635
0.6426,2.5635
0.6431,2.5586
0.6436,2.5635
0.6442,2.5635
0.6447,2.5635
0.6452,2.5635
0.6457,2.5635
0.6463,2.5586
0.6468,2.5635
0.6473,2.5635
0.6478,2.5635
0.6483,2.5537
0.6489,2.5635
0.6494,2.5586
0.6499,2.5635
0.6504,2.5635
0.6510,2.5586
0.6515,2.5537
0.6520,2.5635
0.6525,2.5537
0.6531,2.5586
0.6536,2.5586
0.6541,2.5635
0.6546,2.5488
0.6552,2.5635
0.6557,2.5635
0.6562,2.5635
0.6567,2.5635
0.6573,2.5635
0.6578,2.5635
0.6583,2.5586
0.6588,2.5635
0.6594,2.5537
0.6599,2.5586
0.6604,2.5586
0.6609,2.5635
0.6615,2.5537
0.6620,2.5635
0.6625,2.5635
0.6630,2.5586
0.6636,2.5635
0.6641,2.5586
0.6646,2.5586
0.6651,2.5635
0.6656,2.5586
0.6662,2.5586
0.6667,2.5635
0.6672,2.5635
0.6677,2.5586
0.6683,2.5635
0.6688,2.5586
0.6693,2.5635
0.6698,2.5586
0.6703,2.5586
0.6709,2.5635
0.6714,2.5537
0.6719,2.5586
0.6725,2.5586
0.6730,2.5586
0.6735,2.5635
0.6740,2.5586
0.6746,2.5635
0.6751,2.5635
0.6756,2.5635
0.6761,2.5586
0.6767,2.5586
0.6772,2.5586
0.6777,2.5537
0.6782,2.5586
0.6788,2.5537
0.6793,2.5488
0.6798,2.5488
0.6803,2.5586
0.6809,2.5537
0.6814,2.5586
0.6819,2.5586
0.6824,2.5586
0.6830,2.5586
0.6835,2.5635
0.6840,2.5635
0.6845,2.5586
0.6851,2.5635
0.6856,2.5537
0.6861,2.5537
0.6866,2.5537
0.6872,2.5586
0.6877,2.5488
0.6882,2.5635
0.6887,2.5586
0.6893,2.5635
0.6898,2.5586
0.6903,2.5635
0.6908,2.5635
0.6914,2.5635
0.6919,2.5586
0.6924,2.5586
0.6929,2.5586
0.6935,2.5635
0.6940,2.5635
0.6945,2.5586
0.6950,2.5586
0.6956,2.5586
0.6961,2.5635
0.6966,2.5586
0.6971,2.5635
0.6977,2.5635
0.6982,2.5537
0.6987,2.5586
0.6992,2.5635
0.6998,2.5586
0.7003,2.5586
0.7008,2.5586
0.7013,2.5635
0.7019,2.5635
0.7024,2.5586
0.7029,2.5635
0.7034,2.5586
0.7040,2.5586
0.7045,2.5586
0.7050,2.5635
0.7055,2.5586
0.7060,2.5586
0.7066,2.5586
0.7071,2.5635
0.7076,2.5586
0.7081,2.5635
0.7087,2.5586
0.7092,2.5488
0.7098,2.5586
0.7103,2.5586
0.7108,2.5635
0.7113,2.5586
0.7119,2.5537
