Напряжение[B], Время[c]
0.6642,1.5967
0.6648,1.5967
0.6653,1.5918
0.6658,1.5918
0.6663,1.5967
0.6668,1.5967
0.6674,1.5967
0.6679,1.6016
0.6684,1.5967
0.6689,1.5967
0.6695,1.5967
0.6700,1.5967
0.6705,1.5967
0.6710,1.5918
0.6716,1.5967
0.6721,1.5967
0.6726,1.5967
0.6731,1.5967
0.6736,1.5967
0.6742,1.5967
0.6747,1.5967
0.6752,1.6016
0.6757,1.5967
0.6763,1.5918
0.6768,1.5967
0.6773,1.5967
0.6779,1.5967
0.6785,1.5967
0.6790,1.5967
0.6796,1.5918
0.6801,1.5967
0.6807,1.5967
0.6812,1.5967
0.6818,1.5967
0.6823,1.5967
0.6828,1.5967
0.6833,1.5967
0.6839,1.5967
0.6844,1.5918
0.6849,1.5918
0.6854,1.5967
0.6860,1.5967
0.6865,1.5967
0.6870,1.5967
0.6875,1.5967
0.6880,1.5918
0.6886,1.5967
0.6891,1.5967
0.6896,1.5967
0.6902,1.5967
0.6907,1.5918
0.6912,1.5918
0.6918,1.5918
0.6923,1.5967
0.6928,1.5967
0.6933,1.5967
0.6938,1.5967
0.6944,1.5967
0.6949,1.5967
0.6954,1.6016
0.6959,1.5967
0.6965,1.5967
0.6970,1.5967
0.6975,1.5967
0.6980,1.5967
0.6986,1.5918
0.6991,1.5967
0.6996,1.5967
0.7001,1.5967
0.7006,1.5967
0.7012,1.5967
0.7017,1.5967
0.7022,1.5967
0.7027,1.5967
0.7033,1.6016
0.7038,1.5918
0.7043,1.5967
0.7048,1.6016
0.7054,1.5918
0.7059,1.5967
0.7064,1.5918
0.7069,1.5967
0.7075,1.6016
0.7080,1.5967
0.7085,1.5967
0.7090,1.6016
0.7095,1.5967
0.7101,1.5967
0.7106,1.5967
0.7111,1.5967
0.7116,1.5967
0.7122,1.5967
0.7127,1.5967
0.7132,1.5967
0.7137,1.5967
0.7143,1.5967
0.7148,1.5967
0.7153,1.5967
0.7158,1.5967
0.7164,1.5967
0.7169,1.5918
0.7174,1.5967
0.7179,1.5967
0.7184,1.5967
0.7190,1.5967
0.7195,1.5967
0.7200,1.6016
0.7205,1.5918
0.7211,1.5967
0.7216,1.5967
0.7221,1.5967
0.7226,1.5967
