Время[c], Напряжение[B]
0.7396,2.5586
0.7401,2.5635
0.7406,2.5586
0.7411,2.5635
0.7417,2.5537
0.7422,2.5586
0.7427,2.5586
0.7432,2.5586
0.7438,2.5635
0.7443,2.5586
0.7448,2.5537
0.7453,2.5586
0.7459,2.5635
0.7464,2.5586
0.7469,2.5537
0.7474,2.5488
0.7479,2.5586
0.7485,2.5635
0.7490,2.5586
0.7495,2.5635
0.7500,2.5635
0.7506,2.5635
0.7511,2.5537
0.7516,2.5537
0.7521,2.5586
0.7527,2.5586
0.7532,2.5635
0.7537,2.5586
0.7542,2.5635
0.7548,2.5586
0.7553,2.5635
0.7558,2.5586
