Время[c], Напряжение[B]
0.4735,2.5732
0.4741,2.5684
0.4746,2.5684
0.4751,2.5684
0.4756,2.5635
0.4762,2.5684
0.4767,2.5684
0.4772,2.5635
0.4777,2.5635
0.4783,2.5635
0.4788,2.5635
0.4793,2.5684
0.4798,2.5684
0.4804,2.5732
0.4809,2.5684
0.4814,2.5684
0.4819,2.5586
0.4825,2.5684
0.4830,2.5684
0.4835,2.5684
0.4841,2.5732
0.4846,2.5684
0.4851,2.5586
0.4856,2.5684
0.4862,2.5684
0.4867,2.5732
0.4872,2.5684
0.4877,2.5635
0.4883,2.5684
0.4888,2.5684
0.4893,2.5684
0.4898,2.5684
0.4904,2.5684
0.4909,2.5732
0.4914,2.5586
0.4919,2.5635
0.4925,2.5684
0.4930,2.5684
0.4935,2.5732
0.4940,2.5732
0.4946,2.5732
0.4951,2.5684
0.4956,2.5684
0.4961,2.5732
0.4967,2.5635
0.4972,2.5684
0.4977,2.5586
0.4982,2.5635
0.4988,2.5684
0.4993,2.5586
0.4998,2.5635
0.5003,2.5586
0.5008,2.5586
0.5014,2.5684
0.5019,2.5732
0.5024,2.5684
0.5029,2.5635
0.5035,2.5684
0.5040,2.5684
0.5045,2.5684
0.5050,2.5732
0.5056,2.5684
0.5061,2.5684
0.5066,2.5684
0.5071,2.5635
0.5076,2.5635
0.5082,2.5732
0.5087,2.5684
0.5092,2.5635
0.5097,2.5635
0.5103,2.5684
0.5108,2.5684
0.5113,2.5684
0.5118,2.5684
0.5124,2.5684
0.5129,2.5684
0.5134,2.5684
0.5140,2.5684
0.5145,2.5684
0.5150,2.5635
0.5156,2.5586
0.5161,2.5684
0.5166,2.5684
0.5171,2.5684
0.5177,2.5732
0.5182,2.5586
0.5188,2.5586
0.5193,2.5684
0.5198,2.5586
0.5203,2.5732
0.5209,2.5684
0.5214,2.5684
0.5219,2.5684
0.5225,2.5684
0.5230,2.5684
0.5235,2.5635
0.5241,2.5732
0.5246,2.5684
0.5251,2.5684
0.5257,2.5732
0.5263,2.5684
0.5268,2.5635
0.5273,2.5635
0.5279,2.5635
0.5284,2.5684
0.5289,2.5684
0.5295,2.5732
0.5300,2.5732
0.5306,2.5684
0.5311,2.5684
0.5316,2.5635
0.5321,2.5635
0.5327,2.5586
0.5332,2.5586
0.5337,2.5684
0.5342,2.5635
0.5348,2.5732
0.5353,2.5635
0.5359,2.5684
0.5364,2.5635
0.5369,2.5732
0.5374,2.5732
0.5380,2.5684
0.5385,2.5684
0.5390,2.5684
0.5395,2.5684
0.5401,2.5635
0.5406,2.5635
0.5412,2.5684
0.5417,2.5635
0.5423,2.5586
0.5428,2.5684
0.5436,2.5684
0.5442,2.5586
0.5448,2.5586
0.5454,2.5684
0.5460,2.5586
0.5467,2.5684
0.5472,2.5635
0.5478,2.5586
0.5483,2.5635
0.5489,2.5684
0.5495,2.5635
0.5501,2.5684
0.5506,2.5586
0.5512,2.5684
0.5517,2.5635
0.5522,2.5586
0.5528,2.5684
0.5533,2.5586
0.5539,2.5684
0.5545,2.5732
0.5550,2.5635
0.5556,2.5732
0.5561,2.5732
0.5567,2.5684
0.5573,2.5732
0.5578,2.5684
0.5584,2.5732
0.5589,2.5684
0.5595,2.5684
0.5600,2.5684
0.5606,2.5635
0.5611,2.5586
0.5617,2.5684
0.5622,2.5684
0.5628,2.5635
0.5633,2.5732
0.5638,2.5635
0.5644,2.5684
0.5649,2.5684
0.5654,2.5684
0.5660,2.5635
0.5665,2.5684
0.5670,2.5684
0.5675,2.5635
0.5681,2.5732
0.5686,2.5684
0.5691,2.5684
0.5697,2.5586
0.5702,2.5732
