Время[c], Напряжение[В]
0.5328,2.4854
0.5333,2.4854
0.5339,2.4854
0.5344,2.4902
0.5349,2.4902
0.5354,2.4902
0.5360,2.4854
0.5365,2.4854
0.5370,2.4902
0.5375,2.4854
0.5381,2.4805
0.5387,2.4902
0.5392,2.4902
0.5398,2.4854
0.5403,2.4902
0.5409,2.4902
0.5414,2.4902
0.5419,2.4902
0.5424,2.4854
0.5430,2.4902
0.5435,2.4854
0.5441,2.4756
0.5446,2.4902
0.5451,2.4805
0.5456,2.4805
0.5462,2.4902
0.5467,2.4854
0.5472,2.4805
0.5477,2.4854
0.5482,2.4902
0.5488,2.4902
0.5493,2.4854
0.5498,2.4805
0.5503,2.4854
0.5509,2.4805
0.5514,2.4854
0.5519,2.4805
0.5524,2.4902
0.5530,2.4902
0.5535,2.4902
0.5540,2.4902
0.5545,2.4902
0.5551,2.4902
0.5557,2.4951
0.5562,2.4902
0.5567,2.4902
0.5572,2.4902
0.5578,2.4902
0.5583,2.4902
0.5588,2.4902
0.5593,2.4902
0.5598,2.4805
0.5604,2.4805
0.5609,2.4902
0.5614,2.4805
0.5620,2.4902
0.5625,2.4902
0.5631,2.4902
0.5636,2.4854
0.5641,2.4805
0.5647,2.4902
0.5652,2.4854
0.5657,2.4902
0.5662,2.4854
0.5668,2.4902
0.5673,2.4854
0.5678,2.4805
0.5683,2.4902
0.5689,2.4902
0.5694,2.4756
0.5700,2.4902
0.5705,2.4902
0.5711,2.4805
0.5716,2.4902
0.5722,2.4902
0.5727,2.4902
0.5732,2.4902
0.5738,2.4854
0.5743,2.4902
0.5748,2.4902
0.5754,2.4902
0.5759,2.4902
0.5764,2.4902
0.5769,2.4902
0.5775,2.4854
0.5780,2.4854
0.5785,2.4902
0.5791,2.4805
0.5796,2.4854
0.5801,2.4805
0.5807,2.4902
0.5812,2.4902
0.5817,2.4854
0.5822,2.4805
0.5828,2.4951
0.5833,2.4902
0.5838,2.4902
0.5844,2.4854
0.5849,2.4902
0.5855,2.4854
0.5860,2.4902
0.5866,2.4902
0.5871,2.4902
0.5876,2.4902
0.5882,2.4854
0.5887,2.4902
0.5893,2.4902
0.5898,2.4805
0.5903,2.4902
0.5909,2.4854
0.5914,2.4854
0.5920,2.4902
0.5925,2.4902
0.5930,2.4854
0.5936,2.4902
0.5941,2.4902
0.5946,2.4854
0.5952,2.4805
0.5957,2.4805
0.5962,2.4854
0.5968,2.4805
0.5973,2.4902
0.5978,2.4902
0.5984,2.4902
0.5989,2.4854
0.5994,2.4854
0.6000,2.4854
0.6005,2.4854
0.6010,2.4902
0.6016,2.4902
0.6021,2.4951
0.6027,2.4805
0.6032,2.4805
0.6038,2.4902
0.6043,2.4902
0.6048,2.4951
0.6054,2.4902
0.6059,2.4902
0.6064,2.4854
0.6070,2.4854
0.6075,2.4902
0.6080,2.4902
0.6085,2.4854
0.6091,2.4854
0.6096,2.4902
0.6101,2.4902
0.6106,2.4854
0.6112,2.4854
0.6117,2.4805
0.6122,2.4854
0.6127,2.4902
0.6132,2.4805
0.6138,2.4756
0.6143,2.4805
0.6148,2.4854
0.6153,2.4902
0.6158,2.4902
0.6164,2.4805
0.6169,2.4805
0.6174,2.4902
0.6179,2.4902
0.6185,2.4854
0.6190,2.4854
0.6195,2.4805
0.6200,2.4854
0.6205,2.4902
0.6211,2.4902
0.6216,2.4902
0.6221,2.4854
0.6227,2.4902
0.6232,2.4854
0.6237,2.4805
0.6242,2.4854
0.6247,2.4902
0.6253,2.4902
0.6258,2.4854
0.6263,2.4805
0.6268,2.4805
0.6273,2.4902
0.6279,2.4902
0.6284,2.4854
0.6289,2.4854
0.6294,2.4805
0.6299,2.4902
0.6305,2.4902
0.6310,2.4902
0.6315,2.4902
0.6320,2.4902
0.6326,2.4854
0.6331,2.4902
0.6336,2.4805
0.6341,2.4805
0.6346,2.4805
0.6352,2.4854
0.6357,2.4805
0.6362,2.4854
0.6367,2.4854
0.6373,2.4854
0.6378,2.4951
0.6383,2.4902
0.6388,2.4854
0.6393,2.4902
0.6399,2.4902
0.6404,2.4902
0.6409,2.4854
0.6414,2.4854
0.6420,2.4902
0.6425,2.4854
0.6430,2.4902
0.6435,2.4854
0.6440,2.4854
0.6446,2.4902
0.6451,2.4902
0.6456,2.4902
0.6461,2.4854
0.6466,2.4854
0.6472,2.4805
0.6477,2.4854
0.6482,2.4902
0.6487,2.4902
0.6493,2.4902
0.6498,2.4902
0.6503,2.4854
0.6508,2.4902
0.6513,2.4902
0.6519,2.4854
0.6524,2.4902
0.6529,2.4854
0.6534,2.4902
0.6540,2.4902
0.6545,2.4902
0.6550,2.4854
0.6555,2.4805
0.6560,2.4902
0.6566,2.4902
0.6571,2.4902
0.6576,2.4902
0.6581,2.4902
0.6587,2.4902
0.6592,2.4805
0.6597,2.4805
0.6602,2.4902
0.6608,2.4902
0.6613,2.4902
0.6618,2.4902
0.6623,2.4854
0.6628,2.4902
0.6634,2.4902
0.6639,2.4902
0.6644,2.4902
0.6649,2.4902
0.6655,2.4902
0.6660,2.4854
0.6665,2.4902
0.6670,2.4902
0.6675,2.4902
0.6681,2.4902
0.6686,2.4902
0.6691,2.4854
0.6696,2.4902
0.6702,2.4805
0.6707,2.4902
0.6712,2.4951
0.6717,2.4902
0.6723,2.4902
0.6728,2.4902
0.6733,2.4902
0.6738,2.4902
0.6743,2.4902
0.6749,2.4951
0.6754,2.4902
0.6759,2.4854
0.6764,2.4902
0.6770,2.4902
0.6775,2.4902
0.6780,2.4902
0.6785,2.4902
0.6790,2.4805
0.6796,2.4902
0.6801,2.4902
0.6806,2.4854
0.6811,2.4902
0.6817,2.4902
0.6822,2.4902
0.6827,2.4854
0.6832,2.4854
0.6838,2.4902
0.6843,2.4951
